timestamp,desired_replicas
1757890387,1
1757890400,1
1757890414,1
1757890429,1
1757890445,1
1757890460,1
1757890475,1
1757890490,1
1757890505,1
1757890519,1
1757890534,1
1757890549,1
1757890564,1
1757890578,1
1757890593,1
1757890608,1
1757890622,1
1757890637,1
1757890652,1
1757890666,1
1757890681,1
1757890696,1
1757890710,1
1757890725,1
1757890740,1
1757890755,1
1757890769,1
1757890785,1
1757890799,1
1757890815,1
1757890830,1
1757890845,1
1757890860,1
1757890874,1
1757890889,1
1757890904,1
1757890919,1
1757890933,1
1757890948,1
1757890962,1
1757890977,1
1757890992,1
1757891006,1
1757891021,1
1757891035,1
1757891050,1
1757891065,1
1757891079,1
1757891094,1
1757891109,1
1757891123,1
1757891138,1
1757891153,1
1757891167,1
1757891182,1
1757891197,1
1757891212,1
1757891226,1
1757891241,1
1757891255,1
1757891270,1
1757891285,1
